year,municipality,township,perfecture,treated_municipalities,treatment_year,gdvotes,valid_votes,syriza_votes,pasok_votes,turnout
2013,Κισσάμου,Ινναχωρίου,Χανίων,0,0,6.300762983017474,8126,2480,1346,0.6259436142350947
2015,Κισσάμου,Ινναχωρίου,Χανίων,0,0,4.009518143961928,8405,3272,289,0.6522582647834859
2016,Κισσάμου,Ινναχωρίου,Χανίων,0,1,7.023046502113732,7333,2855,556,0.5670868455649215
2012,Κυθήρων,Αντικυθήρων,Α' Πειραιώς,0,0,4.94933749025721,2566,359,264,0.39813809154383245
2013,Κυθήρων,Αντικυθήρων,Α' Πειραιώς,0,0,6.138996138996139,2590,582,292,0.5295440605193212
2015,Κυθήρων,Αντικυθήρων,Α' Πειραιώς,0,0,5.160390516039052,2151,717,53,0.3
2016,Κυθήρων,Αντικυθήρων,Α' Πειραιώς,0,1,6.4304461942257225,2286,703,137,0.3231552162849873
2012,Κω,Δικαίου,Δωδεκανήσου,1,0,8.690503045341755,17732,2284,3484,0.5860268358781149
2013,Κω,Δικαίου,Δωδεκανήσου,1,0,7.08589655958077,17556,4643,3145,0.5860986846497963
2015,Κω,Δικαίου,Δωδεκανήσου,1,0,5.872242910340876,17455,6779,1278,0.5743476687177125
2016,Κω,Δικαίου,Δωδεκανήσου,1,1,10.152446835767357,15612,5628,1486,0.5424977413301828
2012,Κύθνου,Κύθνου,Κυκλάδων,0,0,4.1998551774076756,1381,157,129,0.47918112421929215
2013,Κύθνου,Κύθνου,Κυκλάδων,0,0,4.633204633204633,1295,210,144,0.4567901234567901
2015,Κύθνου,Κύθνου,Κυκλάδων,0,0,3.3636363636363638,1100,278,52,0.42258932001536686
2016,Κύθνου,Κύθνου,Κυκλάδων,0,1,5.173876166242578,1179,315,95,0.45
2012,Κύμης - Αλιβερίου,Αυλώνος,Ευβοιας,0,0,6.347320633034919,23569,4368,4069,0.6591067982885428
2013,Κύμης - Αλιβερίου,Αυλώνος,Ευβοιας,0,0,6.557732316227462,23072,6784,3769,0.6455331412103746
2015,Κύμης - Αλιβερίου,Αυλώνος,Ευβοιας,0,0,4.676710608913999,22302,9194,1412,0.6428571428571429
2016,Κύμης - Αλιβερίου,Αυλώνος,Ευβοιας,0,1,5.6794826808361325,19949,8086,1778,0.5778968713789108
2012,Λέρου,Λέρου,Δωδεκανήσου,1,0,4.825555052106933,4414,788,448,0.4816148390616476
2013,Λέρου,Λέρου,Δωδεκανήσου,1,0,6.328513865844987,4219,1207,527,0.4637792678905134
2015,Λέρου,Λέρου,Δωδεκανήσου,1,0,5.2716021086408436,4363,1541,290,0.4853710090110135
2016,Λέρου,Λέρου,Δωδεκανήσου,1,1,8.850512682137076,3706,1251,272,0.4267618608935974
2012,Λέσβου,Αγίας Παρασκευής,Λέσβου,1,0,4.343129213595534,49987,7583,6531,0.4634304627165942
2013,Λέσβου,Αγίας Παρασκευής,Λέσβου,1,0,5.1218916609010625,49142,11936,6568,0.4636212687271218
2015,Λέσβου,Αγίας Παρασκευής,Λέσβου,1,0,4.608237066800603,47784,16265,2104,0.4630771019886033
2016,Λέσβου,Αγίας Παρασκευής,Λέσβου,1,1,8.336396214279151,43532,12654,3068,0.4219566334196012
2012,Λήμνου,Ατσικής,Λέσβου,0,0,6.389514642637723,9766,1145,1534,0.3654666566873737
2013,Λήμνου,Ατσικής,Λέσβου,0,0,6.1437246963562755,9880,1675,1821,0.37615167897662377
2015,Λήμνου,Ατσικής,Λέσβου,0,0,5.164113785557987,9140,2526,798,0.3551583446667962
2016,Λήμνου,Ατσικής,Λέσβου,0,1,5.923023738188523,8678,2461,975,0.34488514426516176
2012,Λειψών,Λειψών,Δωδεκανήσου,1,0,4.282115869017632,397,6,52,0.3372982158028887
2013,Λειψών,Λειψών,Δωδεκανήσου,1,0,5.507246376811594,345,38,71,0.29690189328743544
2015,Λειψών,Λειψών,Δωδεκανήσου,1,0,2.680965147453083,373,83,26,0.31798806479113384
2016,Λειψών,Λειψών,Δωδεκανήσου,1,1,6.191950464396285,323,98,18,0.2732656514382403
2012,Λευκάδας,Απολλωνίων,Λευκάδας,0,0,5.685320912391259,14599,2297,1987,0.5395048041389505
2013,Λευκάδας,Απολλωνίων,Λευκάδας,0,0,6.241509973546865,13987,3764,1554,0.5183634140014083
2015,Λευκάδας,Απολλωνίων,Λευκάδας,0,0,4.904350395154738,13539,4892,657,0.5150062763893644
2016,Λευκάδας,Απολλωνίων,Λευκάδας,0,1,5.544667646578475,12246,3750,915,0.4672084239441456
2012,Μήλου,Μήλου,Κυκλάδων,0,0,5.738575982996812,2823,616,254,0.5185525349008082
2013,Μήλου,Μήλου,Κυκλάδων,0,0,4.602795772246846,2933,1009,257,0.5410440878066778
2015,Μήλου,Μήλου,Κυκλάδων,0,0,2.843426883308715,2708,1100,85,0.5020393029291805
2016,Μήλου,Μήλου,Κυκλάδων,0,1,4.609523809523809,2625,1036,164,0.48378179137486177
2012,Μαλεβιζίου,Γαζίου,Ηρακλείου,0,0,2.737837305495371,15231,2539,2889,0.7492621015348289
2013,Μαλεβιζίου,Γαζίου,Ηρακλείου,0,0,3.5383029886636894,14555,5302,2572,0.7167832167832168
2015,Μαλεβιζίου,Γαζίου,Ηρακλείου,0,0,2.6377232283713004,15847,8049,1018,0.7431881067392018
2016,Μαλεβιζίου,Γαζίου,Ηρακλείου,0,1,3.5711688122772567,13749,6594,1260,0.640352102836384
2012,Μαντουδίου - Λίμνης - Αγίας Αννας,Ελυμνίων,Ευβοιας,0,0,6.06641768446553,9907,2017,1616,0.6124505440158259
2013,Μαντουδίου - Λίμνης - Αγίας Αννας,Ελυμνίων,Ευβοιας,0,0,6.585735963581183,9885,3080,1551,0.6115820082905401
2015,Μαντουδίου - Λίμνης - Αγίας Αννας,Ελυμνίων,Ευβοιας,0,0,5.1972645975802205,9505,4157,634,0.5981373104272859
2016,Μαντουδίου - Λίμνης - Αγίας Αννας,Ελυμνίων,Ευβοιας,0,1,6.605813115541677,8326,3383,664,0.5255981314310966
2012,Μεγίστης,Μεγίστης,Δωδεκανήσου,1,0,16.98717948717949,312,20,47,0.1909424724602203
2013,Μεγίστης,Μεγίστης,Δωδεκανήσου,1,0,11.661807580174926,343,41,46,0.2075015124016939
2015,Μεγίστης,Μεγίστης,Δωδεκανήσου,1,0,11.926605504587156,327,84,6,0.1779107725788901
2016,Μεγίστης,Μεγίστης,Δωδεκανήσου,1,1,17.512690355329948,394,107,33,0.25191815856777494
2012,Μεγανησίου,Μεγανησίου,Λευκάδας,0,0,4.968944099378882,966,173,183,0.4856711915535445
2013,Μεγανησίου,Μεγανησίου,Λευκάδας,0,0,5.584281282316442,967,250,184,0.486908358509567
2015,Μεγανησίου,Μεγανησίου,Λευκάδας,0,0,2.7251184834123223,844,291,44,0.44750795334040294
2016,Μεγανησίου,Μεγανησίου,Λευκάδας,0,1,3.1407035175879394,796,240,94,0.4098867147270855
2012,Μινώα Πεδιάδος,Αρκαλοχωρίου,Ηρακλείου,0,0,2.5318386334172196,13113,1530,3389,0.6759975255180947
2013,Μινώα Πεδιάδος,Αρκαλοχωρίου,Ηρακλείου,0,0,3.6636399526253456,12665,3567,3321,0.6559796964831408
2015,Μινώα Πεδιάδος,Αρκαλοχωρίου,Ηρακλείου,0,0,2.9587636871942222,12877,5695,1281,0.6787370862323424
2016,Μινώα Πεδιάδος,Αρκαλοχωρίου,Ηρακλείου,0,1,3.7658366098733067,11445,4903,1673,0.6062612564890348
2012,Μυκόνου,Μυκόνου,Κυκλάδων,0,0,7.817993795243019,4835,713,351,0.6863023420865862
2013,Μυκόνου,Μυκόνου,Κυκλάδων,0,0,6.858908341915551,4855,1143,359,0.6709508015478165
2015,Μυκόνου,Μυκόνου,Κυκλάδων,0,0,5.9765208110992525,4685,1307,163,0.6146680661243769
2016,Μυκόνου,Μυκόνου,Κυκλάδων,0,1,6.510023712006897,4639,1365,188,0.5798025246844144
2012,Μυλοποτάμου,Γεροποτάμου,Ρεθύμνης,0,0,2.539814718434475,9607,803,2706,0.67224127072983
2013,Μυλοποτάμου,Γεροποτάμου,Ρεθύμνης,0,0,3.6544850498338874,9030,1910,2641,0.6331510307109802
2015,Μυλοποτάμου,Γεροποτάμου,Ρεθύμνης,0,0,2.493903790733762,9022,3068,801,0.6462750716332378
